Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,12044.959961,12072.269531,11938.799805,11947.160156,11947.160156,77268800
2018-10-09,11963.629883,11998.639648,11803.190430,11977.219727,11977.219727,77186000
2018-10-10,11976.700195,11978.799805,11712.269531,11712.500000,11712.500000,0
2018-10-11,11558.980469,11700.500000,11518.559570,11539.349609,11539.349609,142293600
2018-10-12,11691.469727,11693.839844,11514.549805,11523.809570,11523.809570,99171000
2018-10-15,11523.809570,11625.019531,11459.080078,11614.160156,11614.160156,71968200
2018-10-16,11637.620117,11790.150391,11606.969727,11776.549805,11776.549805,85693600
2018-10-17,11811.469727,11847.790039,11669.959961,11715.030273,11715.030273,93600200
2018-10-18,11695.190430,11791.219727,11586.320313,11589.209961,11589.209961,97180800
2018-10-19,11578.849609,11617.280273,11498.690430,11553.830078,11553.830078,128743800
2018-10-22,11665.679688,11677.450195,11497.089844,11524.339844,11524.339844,73772600
2018-10-23,11367.570313,11394.209961,11228.500000,11274.280273,11274.280273,115195200
2018-10-24,11298.650391,11391.940430,11166.839844,11191.629883,11191.629883,117472700
2018-10-25,11098.679688,11324.919922,11078.370117,11307.120117,11307.120117,0
2018-10-26,11180.959961,11205.830078,11051.040039,11200.620117,11200.620117,138702800
2018-10-29,11270.669922,11444.860352,11218.919922,11335.480469,11335.480469,98716300
2018-10-30,11391.780273,11394.370117,11212.580078,11287.389648,11287.389648,99304800
2018-10-31,11417.089844,11499.379883,11391.639648,11447.509766,11447.509766,127284000
2018-11-01,11419.610352,11575.429688,11416.360352,11468.540039,11468.540039,98851100
2018-11-02,11636.370117,11689.959961,11518.870117,11518.990234,11518.990234,109924000
2018-11-05,11522.330078,11555.969727,11479.190430,11494.959961,11494.959961,69373800
2018-11-06,11518.169922,11528.519531,11436.530273,11484.339844,11484.339844,0
2018-11-07,11542.089844,11634.809570,11532.339844,11579.099609,11579.099609,85986800
2018-11-08,11629.000000,11648.790039,11503.360352,11527.320313,11527.320313,80629900
2018-11-09,11489.190430,11549.059570,11418.349609,11529.160156,11529.160156,103701100
2018-11-12,11591.589844,11598.509766,11310.719727,11325.440430,11325.440430,93211100
